    a b c d e
253 1 1 1 0 0
254 1 1 1 0 0
255 1 1 1 0 1
256 1 0 1 1 0
257 1 1 1 0 0
258 1 1 1 1 1
259 1 1 1 0 0
260 1 1 1 0 0
261 1 1 1 0 0
262 1 1 1 0 0
263 1 1 1 0 1
264 1 1 1 1 1
265 0 1 1 0 1
266 1 1 1 0 1
267 1 0 1 0 0
268 1 1 1 0 1
269 1 1 1 0 1
270 1 1 1 0 0
271 1 1 1 0 1
272 1 1 1 0 1
273 1 1 1 1 0
274 1 1 1 1 0
275 1 1 1 1 0
276 1 1 1 1 0
277 0 1 1 0 0
278 1 1 1 0 0
279 0 1 1 1 0
280 1 1 1 1 0
281 1 1 1 1 0
282 1 1 1 0 0
283 1 1 1 1 1
284 1 1 1 1 0
285 1 1 1 0 0
286 1 1 1 0 0
287 1 1 1 0 1
288 1 1 1 1 0
289 1 1 1 0 0
290 1 1 1 0 1
291 1 1 1 0 0
292 1 1 1 1 0
293 1 1 1 0 1
294 1 1 1 1 1
295 1 1 1 0 0
296 1 1 1 1 0
297 1 1 1 1 1
298 1 1 1 1 0
299 1 1 1 1 0
300 1 1 1 1 0
301 1 1 1 1 0
302 1 1 1 1 0
303 1 1 1 0 0
304 1 1 1 0 0
305 1 1 1 1 0
306 1 1 1 0 0
307 1 1 1 0 0
308 1 1 1 1 0
309 1 1 1 1 0
310 1 1 1 1 0
311 1 1 1 0 0
312 1 0 1 0 0
313 1 1 1 0 0
314 1 0 1 0 0
315 0 0 1 0 0
316 1 0 1 0 0
317 1 1 1 0 0
318 1 1 1 0 0
319 1 1 1 0 0
320 1 0 1 0 0
321 1 1 1 0 0
322 1 1 1 0 0
323 1 1 1 0 0
324 1 1 1 0 0
325 1 1 1 0 0
326 1 1 1 0 0
327 1 1 1 1 0
328 0 1 1 0 0
329 1 0 1 1 0
330 1 1 1 0 0
331 1 0 1 0 0
332 0 0 1 0 0
333 0 0 1 0 0
334 0 1 0 0 0
335 0 1 0 0 0
336 0 1 0 0 0
337 1 0 0 0 0
338 1 0 0 0 0
339 0 0 0 0 0
340 0 0 0 0 0
